Timestamp: 27 May 2021 , 12:45:48 PM  Avg. characters per second: 77.87  Time Taken: 1.72 s  characters: 134  line: 50
Timestamp: 27 May 2021 , 12:45:53 PM  Avg. characters per second: 21.80  Time Taken: 5.46 s  characters: 119  line: 51
Timestamp: 27 May 2021 , 12:45:55 PM  Avg. characters per second: 13.51  Time Taken: 1.48 s  characters: 20  line: 52
Timestamp: 27 May 2021 , 12:45:56 PM  Avg. characters per second: 94.32  Time Taken: 1.51 s  characters: 142  line: 53
Timestamp: 27 May 2021 , 12:45:57 PM  Avg. characters per second: 95.33  Time Taken: 1.15 s  characters: 110  line: 54
Timestamp: 27 May 2021 , 12:46:02 PM  Avg. characters per second: 20.52  Time Taken: 4.97 s  characters: 102  line: 55
Timestamp: 27 May 2021 , 12:46:03 PM  Avg. characters per second: 104.49  Time Taken: 1.03 s  characters: 108  line: 56
Timestamp: 27 May 2021 , 12:46:05 PM  Avg. characters per second: 83.57  Time Taken: 1.42 s  characters: 119  line: 57
Timestamp: 27 May 2021 , 12:46:06 PM  Avg. characters per second: 62.56  Time Taken: 0.96 s  characters: 60  line: 58
Timestamp: 27 May 2021 , 12:46:07 PM  Avg. characters per second: 85.32  Time Taken: 1.23 s  characters: 105  line: 59
Timestamp: 27 May 2021 , 12:46:09 PM  Avg. characters per second: 76.51  Time Taken: 1.61 s  characters: 123  line: 60
Timestamp: 27 May 2021 , 12:46:10 PM  Avg. characters per second: 198.63  Time Taken: 1.32 s  characters: 263  line: 61
Timestamp: 27 May 2021 , 12:46:12 PM  Avg. characters per second: 32.08  Time Taken: 1.81 s  characters: 58  line: 62
Timestamp: 27 May 2021 , 12:46:13 PM  Avg. characters per second: 33.41  Time Taken: 1.53 s  characters: 51  line: 63
Timestamp: 27 May 2021 , 12:46:14 PM  Avg. characters per second: 82.52  Time Taken: 1.31 s  characters: 108  line: 64
Timestamp: 27 May 2021 , 12:46:18 PM  Avg. characters per second: 39.33  Time Taken: 3.86 s  characters: 152  line: 65
Timestamp: 27 May 2021 , 12:46:20 PM  Avg. characters per second: 39.39  Time Taken: 1.29 s  characters: 51  line: 66
Timestamp: 27 May 2021 , 12:46:23 PM  Avg. characters per second: 18.99  Time Taken: 3.84 s  characters: 73  line: 67
Timestamp: 27 May 2021 , 12:46:26 PM  Avg. characters per second: 45.44  Time Taken: 2.13 s  characters: 97  line: 68
Timestamp: 27 May 2021 , 12:46:27 PM  Avg. characters per second: 31.24  Time Taken: 1.28 s  characters: 40  line: 69
Timestamp: 27 May 2021 , 12:46:28 PM  Avg. characters per second: 75.58  Time Taken: 1.36 s  characters: 103  line: 70
Timestamp: 27 May 2021 , 12:46:30 PM  Avg. characters per second: 98.31  Time Taken: 1.27 s  characters: 125  line: 71
Timestamp: 27 May 2021 , 12:46:31 PM  Avg. characters per second: 92.34  Time Taken: 1.35 s  characters: 125  line: 72
Timestamp: 27 May 2021 , 12:46:32 PM  Avg. characters per second: 50.80  Time Taken: 1.34 s  characters: 68  line: 73
Timestamp: 27 May 2021 , 12:46:33 PM  Avg. characters per second: 54.72  Time Taken: 1.24 s  characters: 68  line: 74
Timestamp: 27 May 2021 , 12:46:35 PM  Avg. characters per second: 34.59  Time Taken: 1.39 s  characters: 48  line: 75
Timestamp: 27 May 2021 , 12:46:36 PM  Avg. characters per second: 39.93  Time Taken: 1.20 s  characters: 48  line: 76
Timestamp: 27 May 2021 , 12:46:38 PM  Avg. characters per second: 28.59  Time Taken: 1.68 s  characters: 48  line: 77
Timestamp: 27 May 2021 , 12:46:39 PM  Avg. characters per second: 13.57  Time Taken: 1.25 s  characters: 17  line: 78
Timestamp: 27 May 2021 , 12:46:40 PM  Avg. characters per second: 100.54  Time Taken: 1.30 s  characters: 131  line: 79
Timestamp: 27 May 2021 , 12:46:42 PM  Avg. characters per second: 68.01  Time Taken: 1.84 s  characters: 125  line: 80
Timestamp: 27 May 2021 , 12:46:43 PM  Avg. characters per second: 42.86  Time Taken: 1.28 s  characters: 55  line: 81
Timestamp: 27 May 2021 , 12:46:45 PM  Avg. characters per second: 105.98  Time Taken: 1.31 s  characters: 139  line: 82
Timestamp: 27 May 2021 , 12:46:48 PM  Avg. characters per second: 120.49  Time Taken: 2.81 s  characters: 338  line: 83
Timestamp: 27 May 2021 , 12:46:54 PM  Avg. characters per second: 63.37  Time Taken: 6.00 s  characters: 380  line: 84
Timestamp: 27 May 2021 , 12:46:55 PM  Avg. characters per second: 50.56  Time Taken: 1.29 s  characters: 65  line: 85
Timestamp: 27 May 2021 , 12:46:56 PM  Avg. characters per second: 11.97  Time Taken: 1.34 s  characters: 16  line: 86
Timestamp: 27 May 2021 , 12:46:58 PM  Avg. characters per second: 21.69  Time Taken: 1.71 s  characters: 37  line: 87
Timestamp: 27 May 2021 , 12:46:59 PM  Avg. characters per second: 5.52  Time Taken: 1.27 s  characters: 7  line: 88
Timestamp: 27 May 2021 , 12:47:00 PM  Avg. characters per second: 20.05  Time Taken: 1.35 s  characters: 27  line: 89
Timestamp: 27 May 2021 , 12:47:02 PM  Avg. characters per second: 23.72  Time Taken: 1.98 s  characters: 47  line: 90
Timestamp: 27 May 2021 , 12:47:04 PM  Avg. characters per second: 25.34  Time Taken: 1.50 s  characters: 38  line: 91
Timestamp: 27 May 2021 , 12:47:06 PM  Avg. characters per second: 20.61  Time Taken: 1.84 s  characters: 38  line: 92
Timestamp: 27 May 2021 , 12:47:07 PM  Avg. characters per second: 30.25  Time Taken: 1.65 s  characters: 50  line: 93
Timestamp: 27 May 2021 , 12:47:09 PM  Avg. characters per second: 34.27  Time Taken: 1.37 s  characters: 47  line: 94
