Timestamp: 17 Apr 2021 , 10:23:25 PM  Avg. characters per second: 93.38  Time Taken: 1.30 s  characters: 121  line: 1
Timestamp: 17 Apr 2021 , 10:23:27 PM  Avg. characters per second: 83.37  Time Taken: 1.63 s  characters: 136  line: 2
Timestamp: 17 Apr 2021 , 10:23:28 PM  Avg. characters per second: 105.70  Time Taken: 1.28 s  characters: 135  line: 3
Timestamp: 17 Apr 2021 , 10:23:29 PM  Avg. characters per second: 34.89  Time Taken: 1.32 s  characters: 46  line: 4
Timestamp: 17 Apr 2021 , 10:23:31 PM  Avg. characters per second: 104.45  Time Taken: 1.28 s  characters: 134  line: 5
Timestamp: 17 Apr 2021 , 10:23:32 PM  Avg. characters per second: 56.89  Time Taken: 1.44 s  characters: 82  line: 6
Timestamp: 17 Apr 2021 , 10:23:33 PM  Avg. characters per second: 89.67  Time Taken: 1.34 s  characters: 120  line: 7
Timestamp: 17 Apr 2021 , 10:23:35 PM  Avg. characters per second: 90.25  Time Taken: 1.50 s  characters: 135  line: 8
Timestamp: 17 Apr 2021 , 10:23:36 PM  Avg. characters per second: 29.94  Time Taken: 1.44 s  characters: 43  line: 9
Timestamp: 17 Apr 2021 , 10:23:38 PM  Avg. characters per second: 106.49  Time Taken: 1.25 s  characters: 133  line: 10
Timestamp: 17 Apr 2021 , 10:23:39 PM  Avg. characters per second: 98.86  Time Taken: 1.35 s  characters: 133  line: 11
Timestamp: 17 Apr 2021 , 10:23:40 PM  Avg. characters per second: 101.64  Time Taken: 1.31 s  characters: 133  line: 12
Timestamp: 17 Apr 2021 , 10:23:42 PM  Avg. characters per second: 61.07  Time Taken: 1.44 s  characters: 88  line: 13
Timestamp: 17 Apr 2021 , 10:23:43 PM  Avg. characters per second: 79.80  Time Taken: 1.50 s  characters: 120  line: 14
Timestamp: 17 Apr 2021 , 10:23:45 PM  Avg. characters per second: 95.86  Time Taken: 1.39 s  characters: 133  line: 15
Timestamp: 17 Apr 2021 , 10:23:46 PM  Avg. characters per second: 90.14  Time Taken: 1.41 s  characters: 127  line: 16
Timestamp: 17 Apr 2021 , 10:23:47 PM  Avg. characters per second: 103.61  Time Taken: 1.26 s  characters: 131  line: 17
Timestamp: 17 Apr 2021 , 10:23:49 PM  Avg. characters per second: 43.12  Time Taken: 1.37 s  characters: 59  line: 18
Timestamp: 17 Apr 2021 , 10:23:50 PM  Avg. characters per second: 87.65  Time Taken: 1.30 s  characters: 114  line: 19
Timestamp: 17 Apr 2021 , 10:23:51 PM  Avg. characters per second: 88.62  Time Taken: 1.29 s  characters: 114  line: 20
Timestamp: 17 Apr 2021 , 10:23:53 PM  Avg. characters per second: 98.28  Time Taken: 1.33 s  characters: 131  line: 21
Timestamp: 17 Apr 2021 , 10:23:54 PM  Avg. characters per second: 58.23  Time Taken: 1.31 s  characters: 76  line: 22
Timestamp: 17 Apr 2021 , 10:23:55 PM  Avg. characters per second: 61.72  Time Taken: 1.39 s  characters: 86  line: 23
Timestamp: 17 Apr 2021 , 10:23:57 PM  Avg. characters per second: 45.24  Time Taken: 1.26 s  characters: 57  line: 24
Timestamp: 17 Apr 2021 , 10:23:58 PM  Avg. characters per second: 102.59  Time Taken: 1.27 s  characters: 130  line: 25
Timestamp: 17 Apr 2021 , 10:23:59 PM  Avg. characters per second: 103.62  Time Taken: 1.31 s  characters: 136  line: 26
Timestamp: 17 Apr 2021 , 10:24:00 PM  Avg. characters per second: 94.73  Time Taken: 1.34 s  characters: 127  line: 27
Timestamp: 17 Apr 2021 , 10:24:02 PM  Avg. characters per second: 103.06  Time Taken: 1.28 s  characters: 132  line: 28
Timestamp: 17 Apr 2021 , 10:24:03 PM  Avg. characters per second: 98.71  Time Taken: 1.27 s  characters: 125  line: 29
Timestamp: 17 Apr 2021 , 10:24:04 PM  Avg. characters per second: 93.58  Time Taken: 1.31 s  characters: 123  line: 30
Timestamp: 17 Apr 2021 , 10:24:06 PM  Avg. characters per second: 101.40  Time Taken: 1.31 s  characters: 133  line: 31
Timestamp: 17 Apr 2021 , 10:24:07 PM  Avg. characters per second: 70.72  Time Taken: 1.29 s  characters: 91  line: 32
Timestamp: 17 Apr 2021 , 10:24:08 PM  Avg. characters per second: 106.27  Time Taken: 1.26 s  characters: 134  line: 33
Timestamp: 17 Apr 2021 , 10:24:10 PM  Avg. characters per second: 44.89  Time Taken: 1.96 s  characters: 88  line: 34
Timestamp: 17 Apr 2021 , 10:24:12 PM  Avg. characters per second: 83.72  Time Taken: 1.41 s  characters: 118  line: 35
Timestamp: 17 Apr 2021 , 10:24:13 PM  Avg. characters per second: 100.93  Time Taken: 1.31 s  characters: 132  line: 36
Timestamp: 17 Apr 2021 , 10:24:14 PM  Avg. characters per second: 99.64  Time Taken: 1.31 s  characters: 131  line: 37
Timestamp: 17 Apr 2021 , 10:24:16 PM  Avg. characters per second: 97.27  Time Taken: 1.35 s  characters: 131  line: 38
Timestamp: 17 Apr 2021 , 10:24:17 PM  Avg. characters per second: 102.45  Time Taken: 1.25 s  characters: 128  line: 39
Timestamp: 17 Apr 2021 , 10:24:18 PM  Avg. characters per second: 48.34  Time Taken: 1.34 s  characters: 65  line: 40
Timestamp: 17 Apr 2021 , 10:24:19 PM  Avg. characters per second: 102.85  Time Taken: 1.30 s  characters: 134  line: 41
Timestamp: 17 Apr 2021 , 10:24:21 PM  Avg. characters per second: 97.10  Time Taken: 1.35 s  characters: 131  line: 42
Timestamp: 17 Apr 2021 , 10:24:22 PM  Avg. characters per second: 45.99  Time Taken: 1.26 s  characters: 58  line: 43
Timestamp: 17 Apr 2021 , 10:24:23 PM  Avg. characters per second: 50.99  Time Taken: 1.43 s  characters: 73  line: 44
Timestamp: 17 Apr 2021 , 10:24:25 PM  Avg. characters per second: 84.89  Time Taken: 1.33 s  characters: 113  line: 45
Timestamp: 17 Apr 2021 , 10:24:26 PM  Avg. characters per second: 85.00  Time Taken: 1.49 s  characters: 127  line: 46
Timestamp: 17 Apr 2021 , 10:24:28 PM  Avg. characters per second: 85.26  Time Taken: 1.49 s  characters: 127  line: 47
Timestamp: 17 Apr 2021 , 10:24:29 PM  Avg. characters per second: 83.33  Time Taken: 1.63 s  characters: 136  line: 48
Timestamp: 17 Apr 2021 , 10:24:31 PM  Avg. characters per second: 84.53  Time Taken: 1.56 s  characters: 132  line: 49
Timestamp: 17 Apr 2021 , 10:24:33 PM  Avg. characters per second: 74.76  Time Taken: 1.73 s  characters: 129  line: 50
Timestamp: 17 Apr 2021 , 10:24:34 PM  Avg. characters per second: 83.16  Time Taken: 1.56 s  characters: 130  line: 51
Timestamp: 17 Apr 2021 , 10:24:36 PM  Avg. characters per second: 88.41  Time Taken: 1.52 s  characters: 134  line: 52
Timestamp: 17 Apr 2021 , 10:24:37 PM  Avg. characters per second: 34.37  Time Taken: 1.60 s  characters: 55  line: 53
Timestamp: 17 Apr 2021 , 10:24:39 PM  Avg. characters per second: 92.82  Time Taken: 1.44 s  characters: 134  line: 54
Timestamp: 17 Apr 2021 , 10:24:41 PM  Avg. characters per second: 52.15  Time Taken: 2.26 s  characters: 118  line: 55
Timestamp: 17 Apr 2021 , 10:24:42 PM  Avg. characters per second: 88.91  Time Taken: 1.33 s  characters: 118  line: 56
Timestamp: 17 Apr 2021 , 10:24:44 PM  Avg. characters per second: 96.15  Time Taken: 1.39 s  characters: 134  line: 57
Timestamp: 17 Apr 2021 , 10:24:45 PM  Avg. characters per second: 90.39  Time Taken: 1.43 s  characters: 129  line: 58
Timestamp: 17 Apr 2021 , 10:24:47 PM  Avg. characters per second: 45.46  Time Taken: 1.54 s  characters: 70  line: 59
Timestamp: 17 Apr 2021 , 10:24:48 PM  Avg. characters per second: 86.39  Time Taken: 1.48 s  characters: 128  line: 60
Timestamp: 17 Apr 2021 , 10:24:50 PM  Avg. characters per second: 81.82  Time Taken: 1.52 s  characters: 124  line: 61
Timestamp: 17 Apr 2021 , 10:24:51 PM  Avg. characters per second: 93.34  Time Taken: 1.41 s  characters: 132  line: 62
Timestamp: 17 Apr 2021 , 10:24:52 PM  Avg. characters per second: 64.27  Time Taken: 1.28 s  characters: 82  line: 63
